Name,Consensus length,Total read count,Single reads,Reads in pairs,Average coverage,Reference sequence,Reference length,Reference common name,Reference Latin name,Experiment
AJ879950_28S mapping,1852,61756,54090,7666,3915.466594827586,AJ879950_28S,1856,,Fusarium circinatum,Map_B_4rel_N
AY249397_28S mapping,2569,144510,121956,22554,6669.476060724017,AY249397_28S,2569,,Fusarium circinatum,Map_B_4rel_N
AY249403_28S mapping,2568,145070,121938,23132,6693.570872274143,AY249403_28S,2568,,Fusarium circinatum,Map_B_4rel_N
U61651.1_28S mapping,535,81190,76294,4896,17530.570093457944,U61651.1_28S,535,,,Map_B_4rel_N
U61599.1_18S mapping,680,36297,33807,2490,6111.311306901615,U61599.1_18S,681,,,Map_B_4rel_N
U61677.1_ITS mapping,522,71862,67050,4812,15832.747126436781,U61677.1_ITS,522,,,Map_B_4rel_N
KC514065_EF1 mapping,600,33,33,0,5.889716840536512,KC514065_EF1,671,,Fusarium circinatum,Map_B_4rel_N
KC514064_EF1 mapping,570,27,27,0,4.493293591654248,KC514064_EF1,671,,Fusarium circinatum,Map_B_4rel_N
KC514063_EF1 mapping,573,31,31,0,5.563338301043219,KC514063_EF1,671,,Fusarium circinatum,Map_B_4rel_N
KC514062_EF1 mapping,458,27,25,2,4.956386292834891,KC514062_EF1,642,,Fusarium circinatum,Map_B_4rel_N
KC514061_EF1 mapping,593,39,35,4,6.967065868263473,KC514061_EF1,668,,Fusarium circinatum,Map_B_4rel_N
KC514060_EF1 mapping,586,41,37,4,7.287630402384501,KC514060_EF1,671,,Fusarium circinatum,Map_B_4rel_N
KC514059_EF1 mapping,674,116,102,14,21.21185185185185,KC514059_EF1,675,,Fusarium circinatum,Map_B_4rel_N
KC514058_EF1 mapping,679,276,246,30,42.33970588235294,KC514058_EF1,680,,Fusarium circinatum,Map_B_4rel_N
KC514057_EF1 mapping,676,58,56,2,8.965875370919882,KC514057_EF1,674,,Fusarium circinatum,Map_B_4rel_N
KC514056_EF1 mapping,531,28,28,0,4.849702380952381,KC514056_EF1,672,,Fusarium circinatum,Map_B_4rel_N
KC514055_EF1 mapping,544,24,20,4,4.1594634873323395,KC514055_EF1,671,,Fusarium circinatum,Map_B_4rel_N
AF160295_EF1 mapping,634,80,78,2,15.314152410575428,AF160295_EF1,643,,Fusarium circinatum,Map_B_4rel_N
U61547.1_TUB2_1-4 mapping,570,388,360,28,78.55438596491229,U61547.1_TUB2_1-4,570,,,Map_B_4rel_N
U61625.1_TUB2_4-5 mapping,348,617,611,6,182.90804597701148,U61625.1_TUB2_4-5,348,,,Map_B_4rel_N
U61573.1_TUB2_4 mapping,318,588,584,4,195.73899371069183,U61573.1_TUB2_4,318,,,Map_B_4rel_N
FCU61547_TUB2_1-4 mapping,570,408,386,22,81.83508771929824,FCU61547_TUB2_1-4,570,,Fusarium circinatum,Map_B_4rel_N
AF160295.1_EF1 mapping,624,69,69,0,13.245723172628304,AF160295.1_EF1,643,,,Map_B_4rel_N
AF158348.1_CAL mapping,650,378,366,12,61.994091580502214,AF158348.1_CAL,677,,,Map_B_4rel_N
AF158342.1_CAL mapping,675,597,561,36,105.98074074074074,AF158342.1_CAL,675,,,Map_B_4rel_N
ENA|FJ744110.1:144..300:rRNA|_5S mapping,157,9025,9011,14,6893.617834394904,ENA|FJ744110.1:144..300:rRNA|_5S,157,,,Map_B_4rel_N
JX171623.1_RPB2 mapping,1760,512,444,68,32.6358754027927,JX171623.1_RPB2,1862,,,Map_B_4rel_N
JX171510.1_RPB1 mapping,1605,2133,1783,350,161.33271028037385,JX171510.1_RPB1,1605,,,Map_B_4rel_N
HM068354.1_RPB2 mapping,1766,642,554,88,38.73515248796148,HM068354.1_RPB2,1869,,,Map_B_4rel_N
MN534252.1_RPB2 mapping,1518,426,382,44,29.094287298946202,MN534252.1_RPB2,1803,,,Map_B_4rel_N
MN534251.1_RPB2 mapping,1696,919,759,160,62.149195784803105,MN534251.1_RPB2,1803,,,Map_B_4rel_N
