Name,Consensus length,Total read count,Single reads,Reads in pairs,Average coverage,Reference sequence,Reference length,Reference common name,Reference Latin name,Experiment
AJ879950_28S mapping,1852,75305,55599,19706,5654.051185344828,AJ879950_28S,1856,,Fusarium circinatum,Map_B_4rel_P
AY249397_28S mapping,2569,210082,129544,80538,12777.651615414557,AY249397_28S,2569,,Fusarium circinatum,Map_B_4rel_P
AY249403_28S mapping,2568,211663,129601,82062,12908.014797507789,AY249403_28S,2568,,Fusarium circinatum,Map_B_4rel_P
U61651.1_28S mapping,535,115170,82450,32720,31390.555140186916,U61651.1_28S,535,,,Map_B_4rel_P
U61599.1_18S mapping,680,45135,35297,9838,9059.894273127753,U61599.1_18S,681,,,Map_B_4rel_P
U61677.1_ITS mapping,522,104229,73775,30454,29353.664750957854,U61677.1_ITS,522,,,Map_B_4rel_P
KC514065_EF1 mapping,654,65,39,26,17.140089418777944,KC514065_EF1,671,,Fusarium circinatum,Map_B_4rel_P
KC514064_EF1 mapping,592,37,31,6,7.8912071535022354,KC514064_EF1,671,,Fusarium circinatum,Map_B_4rel_P
KC514063_EF1 mapping,576,42,32,10,8.453055141579732,KC514063_EF1,671,,Fusarium circinatum,Map_B_4rel_P
KC514062_EF1 mapping,629,42,30,12,10.200934579439252,KC514062_EF1,642,,Fusarium circinatum,Map_B_4rel_P
KC514061_EF1 mapping,649,59,39,20,14.585329341317365,KC514061_EF1,668,,Fusarium circinatum,Map_B_4rel_P
KC514060_EF1 mapping,662,92,42,50,26.555886736214607,KC514060_EF1,671,,Fusarium circinatum,Map_B_4rel_P
KC514059_EF1 mapping,675,133,103,30,27.16888888888889,KC514059_EF1,675,,Fusarium circinatum,Map_B_4rel_P
KC514058_EF1 mapping,679,354,268,86,63.07205882352941,KC514058_EF1,680,,Fusarium circinatum,Map_B_4rel_P
KC514057_EF1 mapping,679,125,75,50,27.838278931750743,KC514057_EF1,674,,Fusarium circinatum,Map_B_4rel_P
KC514056_EF1 mapping,568,36,30,6,6.834821428571429,KC514056_EF1,672,,Fusarium circinatum,Map_B_4rel_P
KC514055_EF1 mapping,670,70,28,42,21.016393442622952,KC514055_EF1,671,,Fusarium circinatum,Map_B_4rel_P
AF160295_EF1 mapping,630,94,80,14,20.040435458786938,AF160295_EF1,643,,Fusarium circinatum,Map_B_4rel_P
U61547.1_TUB2_1-4 mapping,570,548,386,162,140.98070175438596,U61547.1_TUB2_1-4,570,,,Map_B_4rel_P
U61625.1_TUB2_4-5 mapping,348,825,643,182,298.64367816091954,U61625.1_TUB2_4-5,348,,,Map_B_4rel_P
U61573.1_TUB2_4 mapping,318,796,648,148,319.78930817610063,U61573.1_TUB2_4,318,,,Map_B_4rel_P
FCU61547_TUB2_1-4 mapping,570,534,404,130,129.60350877192982,FCU61547_TUB2_1-4,570,,Fusarium circinatum,Map_B_4rel_P
AF160295.1_EF1 mapping,624,82,72,10,17.278382581648522,AF160295.1_EF1,643,,,Map_B_4rel_P
AF158348.1_CAL mapping,677,738,424,314,179.74446085672082,AF158348.1_CAL,677,,,Map_B_4rel_P
AF158342.1_CAL mapping,675,603,561,42,107.24888888888889,AF158342.1_CAL,675,,,Map_B_4rel_P
ENA|FJ744110.1:144..300:rRNA|_5S mapping,157,9521,9337,184,7343.146496815287,ENA|FJ744110.1:144..300:rRNA|_5S,157,,,Map_B_4rel_P
JX171623.1_RPB2 mapping,1762,696,478,218,55.0499462943072,JX171623.1_RPB2,1862,,,Map_B_4rel_P
JX171510.1_RPB1 mapping,1605,2962,1894,1068,286.72336448598134,JX171510.1_RPB1,1605,,,Map_B_4rel_P
HM068354.1_RPB2 mapping,1769,899,597,302,68.62546816479401,HM068354.1_RPB2,1869,,,Map_B_4rel_P
MN534252.1_RPB2 mapping,1598,552,400,152,46.60232945091514,MN534252.1_RPB2,1803,,,Map_B_4rel_P
MN534251.1_RPB2 mapping,1698,1246,798,448,104.81863560732113,MN534251.1_RPB2,1803,,,Map_B_4rel_P
