Name,Consensus length,Total read count,Single reads,Reads in pairs,Average coverage,Reference sequence,Reference length,Reference common name,Reference Latin name,Experiment
AJ879950_28S mapping,1853,137551,117413,20138,8895.581357758621,AJ879950_28S,1856,,Fusarium circinatum,Map_B_8rel_N
AY249397_28S mapping,2568,365150,281208,83942,16999.59011288439,AY249397_28S,2569,,Fusarium circinatum,Map_B_8rel_N
AY249403_28S mapping,2567,366905,281463,85442,17088.38707165109,AY249403_28S,2568,,Fusarium circinatum,Map_B_8rel_N
U61651.1_28S mapping,535,194797,181337,13460,42034.76448598131,U61651.1_28S,535,,,Map_B_8rel_N
U61599.1_18S mapping,681,77855,70371,7484,13269.631424375917,U61599.1_18S,681,,,Map_B_8rel_N
U61677.1_ITS mapping,522,173826,160150,13676,38257.030651340996,U61677.1_ITS,522,,,Map_B_8rel_N
KC514065_EF1 mapping,614,89,89,0,16.30253353204173,KC514065_EF1,671,,Fusarium circinatum,Map_B_8rel_N
KC514064_EF1 mapping,578,55,53,2,9.557377049180328,KC514064_EF1,671,,Fusarium circinatum,Map_B_8rel_N
KC514063_EF1 mapping,582,58,58,0,10.48435171385991,KC514063_EF1,671,,Fusarium circinatum,Map_B_8rel_N
KC514062_EF1 mapping,491,59,57,2,11.151090342679128,KC514062_EF1,642,,Fusarium circinatum,Map_B_8rel_N
KC514061_EF1 mapping,603,89,85,4,16.335329341317365,KC514061_EF1,668,,Fusarium circinatum,Map_B_8rel_N
KC514060_EF1 mapping,617,92,88,4,16.695976154992547,KC514060_EF1,671,,Fusarium circinatum,Map_B_8rel_N
KC514059_EF1 mapping,674,282,258,24,51.90518518518518,KC514059_EF1,675,,Fusarium circinatum,Map_B_8rel_N
KC514058_EF1 mapping,679,681,589,92,106.85882352941177,KC514058_EF1,680,,Fusarium circinatum,Map_B_8rel_N
KC514057_EF1 mapping,676,150,146,4,21.327893175074184,KC514057_EF1,674,,Fusarium circinatum,Map_B_8rel_N
KC514056_EF1 mapping,589,47,47,0,8.369047619047619,KC514056_EF1,672,,Fusarium circinatum,Map_B_8rel_N
KC514055_EF1 mapping,583,56,52,4,10.032786885245901,KC514055_EF1,671,,Fusarium circinatum,Map_B_8rel_N
AF160295_EF1 mapping,641,230,214,16,44.36236391912908,AF160295_EF1,643,,Fusarium circinatum,Map_B_8rel_N
U61547.1_TUB2_1-4 mapping,570,933,859,74,190.43333333333334,U61547.1_TUB2_1-4,570,,,Map_B_8rel_N
U61625.1_TUB2_4-5 mapping,348,1419,1411,8,422.26149425287355,U61625.1_TUB2_4-5,348,,,Map_B_8rel_N
U61573.1_TUB2_4 mapping,318,1373,1369,4,455.251572327044,U61573.1_TUB2_4,318,,,Map_B_8rel_N
FCU61547_TUB2_1-4 mapping,570,929,857,72,187.20877192982456,FCU61547_TUB2_1-4,570,,Fusarium circinatum,Map_B_8rel_N
AF160295.1_EF1 mapping,640,198,192,6,38.339035769828925,AF160295.1_EF1,643,,,Map_B_8rel_N
AF158348.1_CAL mapping,650,1011,943,68,166.40177252584934,AF158348.1_CAL,677,,,Map_B_8rel_N
AF158342.1_CAL mapping,675,1334,1256,78,239.62222222222223,AF158342.1_CAL,675,,,Map_B_8rel_N
ENA|FJ744110.1:144..300:rRNA|_5S mapping,157,21532,21518,14,16489.528662420384,ENA|FJ744110.1:144..300:rRNA|_5S,157,,,Map_B_8rel_N
JX171623.1_RPB2 mapping,1760,1255,1051,204,79.44736842105263,JX171623.1_RPB2,1862,,,Map_B_8rel_N
JX171510.1_RPB1 mapping,1605,5337,4249,1088,404.46666666666664,JX171510.1_RPB1,1605,,,Map_B_8rel_N
HM068354.1_RPB2 mapping,1769,1559,1295,264,94.47779561262708,HM068354.1_RPB2,1869,,,Map_B_8rel_N
MN534252.1_RPB2 mapping,1525,1018,890,128,69.36882972823072,MN534252.1_RPB2,1803,,,Map_B_8rel_N
MN534251.1_RPB2 mapping,1701,2390,1812,578,161.58069883527455,MN534251.1_RPB2,1803,,,Map_B_8rel_N
