Name,Consensus length,Total read count,Single reads,Reads in pairs,Average coverage,Reference sequence,Reference length,Reference common name,Reference Latin name,Experiment
AJ879950_28S mapping,1853,137551,117413,20138,8895.56411637931,AJ879950_28S,1856,,Fusarium circinatum,Map_C_8rel_N
AY249397_28S mapping,2568,366738,282780,83958,17051.50992604126,AY249397_28S,2569,,Fusarium circinatum,Map_C_8rel_N
AY249403_28S mapping,2567,368521,283067,85454,17141.102414330217,AY249403_28S,2568,,Fusarium circinatum,Map_C_8rel_N
U61651.1_28S mapping,535,206936,190154,16782,44651.857943925235,U61651.1_28S,535,,,Map_C_8rel_N
U61599.1_18S mapping,681,80762,73062,7700,13672.558002936858,U61599.1_18S,681,,,Map_C_8rel_N
U61677.1_ITS mapping,522,178172,164344,13828,39258.028735632186,U61677.1_ITS,522,,,Map_C_8rel_N
KC514065_EF1 mapping,614,98,98,0,17.57973174366617,KC514065_EF1,671,,Fusarium circinatum,Map_C_8rel_N
KC514064_EF1 mapping,578,62,58,4,10.493293591654247,KC514064_EF1,671,,Fusarium circinatum,Map_C_8rel_N
KC514063_EF1 mapping,582,62,62,0,11.107302533532042,KC514063_EF1,671,,Fusarium circinatum,Map_C_8rel_N
KC514062_EF1 mapping,491,63,61,2,11.777258566978194,KC514062_EF1,642,,Fusarium circinatum,Map_C_8rel_N
KC514061_EF1 mapping,603,96,92,4,17.381736526946106,KC514061_EF1,668,,Fusarium circinatum,Map_C_8rel_N
KC514060_EF1 mapping,617,99,95,4,17.88822652757079,KC514060_EF1,671,,Fusarium circinatum,Map_C_8rel_N
KC514059_EF1 mapping,674,288,264,24,52.946666666666665,KC514059_EF1,675,,Fusarium circinatum,Map_C_8rel_N
KC514058_EF1 mapping,679,683,591,92,107.21470588235294,KC514058_EF1,680,,Fusarium circinatum,Map_C_8rel_N
KC514057_EF1 mapping,676,157,153,4,22.399109792284868,KC514057_EF1,674,,Fusarium circinatum,Map_C_8rel_N
KC514056_EF1 mapping,589,51,51,0,8.921130952380953,KC514056_EF1,672,,Fusarium circinatum,Map_C_8rel_N
KC514055_EF1 mapping,583,62,60,2,11.0,KC514055_EF1,671,,Fusarium circinatum,Map_C_8rel_N
AF160295_EF1 mapping,641,234,218,16,44.89113530326594,AF160295_EF1,643,,Fusarium circinatum,Map_C_8rel_N
U61547.1_TUB2_1-4 mapping,570,963,887,76,195.80877192982456,U61547.1_TUB2_1-4,570,,,Map_C_8rel_N
U61625.1_TUB2_4-5 mapping,348,1491,1475,16,443.3448275862069,U61625.1_TUB2_4-5,348,,,Map_C_8rel_N
U61573.1_TUB2_4 mapping,318,1526,1490,36,515.3836477987421,U61573.1_TUB2_4,318,,,Map_C_8rel_N
FCU61547_TUB2_1-4 mapping,570,956,882,74,192.23508771929824,FCU61547_TUB2_1-4,570,,Fusarium circinatum,Map_C_8rel_N
AF160295.1_EF1 mapping,640,203,197,6,39.1741835147745,AF160295.1_EF1,643,,,Map_C_8rel_N
AF158348.1_CAL mapping,650,1037,961,76,170.97193500738553,AF158348.1_CAL,677,,,Map_C_8rel_N
AF158342.1_CAL mapping,675,1380,1284,96,246.9274074074074,AF158342.1_CAL,675,,,Map_C_8rel_N
ENA|FJ744110.1:144..300:rRNA|_5S mapping,157,25841,25727,114,19541.554140127388,ENA|FJ744110.1:144..300:rRNA|_5S,157,,,Map_C_8rel_N
JX171623.1_RPB2 mapping,1760,1287,1079,208,81.38668098818475,JX171623.1_RPB2,1862,,,Map_C_8rel_N
JX171510.1_RPB1 mapping,1605,5397,4305,1092,408.781308411215,JX171510.1_RPB1,1605,,,Map_C_8rel_N
HM068354.1_RPB2 mapping,1769,1604,1338,266,97.43552701979668,HM068354.1_RPB2,1869,,,Map_C_8rel_N
MN534252.1_RPB2 mapping,1612,1041,909,132,70.70881863560732,MN534252.1_RPB2,1803,,,Map_C_8rel_N
MN534251.1_RPB2 mapping,1701,2419,1839,580,163.43926788685525,MN534251.1_RPB2,1803,,,Map_C_8rel_N
