Name,Consensus length,Total read count,Single reads,Reads in pairs,Average coverage,Reference sequence,Reference length,Reference common name,Reference Latin name,Experiment
AJ879950_28S mapping,1855,13550,1510,12040,1738.6276939655172,AJ879950_28S,1856,,Fusarium circinatum,Map_B_0rel_P
AY249397_28S mapping,2569,65576,7590,57986,6108.320747372519,AY249397_28S,2569,,Fusarium circinatum,Map_B_0rel_P
AY249403_28S mapping,2568,66594,7664,58930,6214.477024922118,AY249403_28S,2568,,Fusarium circinatum,Map_B_0rel_P
U61651.1_28S mapping,535,34390,6556,27834,13941.91214953271,U61651.1_28S,535,,,Map_B_0rel_P
U61599.1_18S mapping,680,8839,1491,7348,2948.7033773861967,U61599.1_18S,681,,,Map_B_0rel_P
U61677.1_ITS mapping,522,32368,6726,25642,13521.157088122605,U61677.1_ITS,522,,,Map_B_0rel_P
KC514065_EF1 mapping,654,32,6,26,11.25037257824143,KC514065_EF1,671,,Fusarium circinatum,Map_B_0rel_P
KC514064_EF1 mapping,529,10,4,6,3.397913561847988,KC514064_EF1,671,,Fusarium circinatum,Map_B_0rel_P
KC514063_EF1 mapping,218,11,1,10,2.889716840536513,KC514063_EF1,671,,Fusarium circinatum,Map_B_0rel_P
KC514062_EF1 mapping,629,15,5,10,5.244548286604362,KC514062_EF1,642,,Fusarium circinatum,Map_B_0rel_P
KC514061_EF1 mapping,632,20,4,16,7.618263473053892,KC514061_EF1,668,,Fusarium circinatum,Map_B_0rel_P
KC514060_EF1 mapping,662,51,5,46,19.268256333830106,KC514060_EF1,671,,Fusarium circinatum,Map_B_0rel_P
KC514059_EF1 mapping,666,17,1,16,5.957037037037037,KC514059_EF1,675,,Fusarium circinatum,Map_B_0rel_P
KC514058_EF1 mapping,680,78,22,56,20.73235294117647,KC514058_EF1,680,,Fusarium circinatum,Map_B_0rel_P
KC514057_EF1 mapping,650,67,19,48,18.87240356083086,KC514057_EF1,674,,Fusarium circinatum,Map_B_0rel_P
KC514056_EF1 mapping,500,8,2,6,1.9851190476190477,KC514056_EF1,672,,Fusarium circinatum,Map_B_0rel_P
KC514055_EF1 mapping,670,48,8,40,17.125186289120716,KC514055_EF1,671,,Fusarium circinatum,Map_B_0rel_P
AF160295_EF1 mapping,585,14,2,12,4.726283048211508,AF160295_EF1,643,,Fusarium circinatum,Map_B_0rel_P
U61547.1_TUB2_1-4 mapping,570,160,26,134,62.42631578947368,U61547.1_TUB2_1-4,570,,,Map_B_0rel_P
U61625.1_TUB2_4-5 mapping,348,211,35,176,116.39080459770115,U61625.1_TUB2_4-5,348,,,Map_B_0rel_P
U61573.1_TUB2_4 mapping,318,208,64,144,124.0503144654088,U61573.1_TUB2_4,318,,,Map_B_0rel_P
FCU61547_TUB2_1-4 mapping,570,126,18,108,47.76842105263158,FCU61547_TUB2_1-4,570,,Fusarium circinatum,Map_B_0rel_P
AF160295.1_EF1 mapping,622,13,3,10,4.0326594090202175,AF160295.1_EF1,643,,,Map_B_0rel_P
AF158348.1_CAL mapping,677,360,58,302,117.7503692762186,AF158348.1_CAL,677,,,Map_B_0rel_P
AF158342.1_CAL mapping,297,6,0,6,1.2681481481481482,AF158342.1_CAL,675,,,Map_B_0rel_P
ENA|FJ744110.1:144..300:rRNA|_5S mapping,157,843,659,184,666.4394904458599,ENA|FJ744110.1:144..300:rRNA|_5S,157,,,Map_B_0rel_P
JX171623.1_RPB2 mapping,1747,184,34,150,22.414070891514502,JX171623.1_RPB2,1862,,,Map_B_0rel_P
JX171510.1_RPB1 mapping,1605,831,113,718,125.50529595015577,JX171510.1_RPB1,1605,,,Map_B_0rel_P
HM068354.1_RPB2 mapping,1769,257,43,214,29.890315676832532,HM068354.1_RPB2,1869,,,Map_B_0rel_P
MN534252.1_RPB2 mapping,1594,126,18,108,17.50804215196894,MN534252.1_RPB2,1803,,,Map_B_0rel_P
MN534251.1_RPB2 mapping,1698,327,39,288,42.66943982251802,MN534251.1_RPB2,1803,,,Map_B_0rel_P
