Name,Consensus length,Total read count,Single reads,Reads in pairs,Average coverage,Reference sequence,Reference length,Reference common name,Reference Latin name,Experiment
AJ879950_28S mapping,1854,97238,82456,14782,6277.108836206897,AJ879950_28S,1856,,Fusarium circinatum,Map_B_6rel_N
AY249397_28S mapping,2569,250554,193614,56940,11666.83573374854,AY249397_28S,2569,,Fusarium circinatum,Map_B_6rel_N
AY249403_28S mapping,2568,251922,193994,57928,11733.092289719627,AY249403_28S,2568,,Fusarium circinatum,Map_B_6rel_N
U61651.1_28S mapping,535,133281,123777,9504,28746.07476635514,U61651.1_28S,535,,,Map_B_6rel_N
U61599.1_18S mapping,681,54671,49491,5180,9296.274596182086,U61599.1_18S,681,,,Map_B_6rel_N
U61677.1_ITS mapping,522,118805,109151,9654,26145.934865900384,U61677.1_ITS,522,,,Map_B_6rel_N
KC514065_EF1 mapping,614,57,57,0,10.380029806259314,KC514065_EF1,671,,Fusarium circinatum,Map_B_6rel_N
KC514064_EF1 mapping,571,37,37,0,6.275707898658719,KC514064_EF1,671,,Fusarium circinatum,Map_B_6rel_N
KC514063_EF1 mapping,582,39,39,0,7.065573770491803,KC514063_EF1,671,,Fusarium circinatum,Map_B_6rel_N
KC514062_EF1 mapping,487,45,43,2,8.470404984423675,KC514062_EF1,642,,Fusarium circinatum,Map_B_6rel_N
KC514061_EF1 mapping,599,63,59,4,11.480538922155688,KC514061_EF1,668,,Fusarium circinatum,Map_B_6rel_N
KC514060_EF1 mapping,605,60,56,4,10.846497764530552,KC514060_EF1,671,,Fusarium circinatum,Map_B_6rel_N
KC514059_EF1 mapping,674,190,172,18,34.96296296296296,KC514059_EF1,675,,Fusarium circinatum,Map_B_6rel_N
KC514058_EF1 mapping,679,496,426,70,77.70882352941176,KC514058_EF1,680,,Fusarium circinatum,Map_B_6rel_N
KC514057_EF1 mapping,676,94,90,4,14.011869436201781,KC514057_EF1,674,,Fusarium circinatum,Map_B_6rel_N
KC514056_EF1 mapping,578,36,36,0,6.340773809523809,KC514056_EF1,672,,Fusarium circinatum,Map_B_6rel_N
KC514055_EF1 mapping,550,38,34,4,6.769001490312966,KC514055_EF1,671,,Fusarium circinatum,Map_B_6rel_N
AF160295_EF1 mapping,630,154,146,8,29.771384136858476,AF160295_EF1,643,,Fusarium circinatum,Map_B_6rel_N
U61547.1_TUB2_1-4 mapping,570,626,578,48,127.48070175438596,U61547.1_TUB2_1-4,570,,,Map_B_6rel_N
U61625.1_TUB2_4-5 mapping,348,985,977,8,295.67528735632186,U61625.1_TUB2_4-5,348,,,Map_B_6rel_N
U61573.1_TUB2_4 mapping,318,937,933,4,312.8930817610063,U61573.1_TUB2_4,318,,,Map_B_6rel_N
FCU61547_TUB2_1-4 mapping,570,653,613,40,131.52105263157895,FCU61547_TUB2_1-4,570,,Fusarium circinatum,Map_B_6rel_N
AF160295.1_EF1 mapping,637,131,129,2,25.368584758942458,AF160295.1_EF1,643,,,Map_B_6rel_N
AF158348.1_CAL mapping,650,653,609,44,107.28360413589365,AF158348.1_CAL,677,,,Map_B_6rel_N
AF158342.1_CAL mapping,675,982,918,64,175.29925925925926,AF158342.1_CAL,675,,,Map_B_6rel_N
ENA|FJ744110.1:144..300:rRNA|_5S mapping,157,14766,14752,14,11284.47770700637,ENA|FJ744110.1:144..300:rRNA|_5S,157,,,Map_B_6rel_N
JX171623.1_RPB2 mapping,1760,840,722,118,53.34156820622986,JX171623.1_RPB2,1862,,,Map_B_6rel_N
JX171510.1_RPB1 mapping,1605,3684,2912,772,279.37881619937696,JX171510.1_RPB1,1605,,,Map_B_6rel_N
HM068354.1_RPB2 mapping,1766,1075,889,186,65.13643659711076,HM068354.1_RPB2,1869,,,Map_B_6rel_N
MN534252.1_RPB2 mapping,1525,689,601,88,47.01885745978924,MN534252.1_RPB2,1803,,,Map_B_6rel_N
MN534251.1_RPB2 mapping,1701,1634,1240,394,110.48141985579589,MN534251.1_RPB2,1803,,,Map_B_6rel_N
