Name,Consensus length,Total read count,Single reads,Reads in pairs,Average coverage,Reference sequence,Reference length,Reference common name,Reference Latin name,Experiment
AJ879950_28S mapping,1853,151100,118922,32178,10634.148706896553,AJ879950_28S,1856,,Fusarium circinatum,Map_C_8rel_P
AY249397_28S mapping,2569,432310,290368,141942,23159.6854807318,AY249397_28S,2569,,Fusarium circinatum,Map_C_8rel_P
AY249403_28S mapping,2568,435114,290730,144384,23355.54633956386,AY249403_28S,2568,,Fusarium circinatum,Map_C_8rel_P
U61651.1_28S mapping,535,240916,196310,44606,58511.84299065421,U61651.1_28S,535,,,Map_C_8rel_P
U61599.1_18S mapping,681,89600,74552,15048,16621.140969162996,U61599.1_18S,681,,,Map_C_8rel_P
U61677.1_ITS mapping,522,210539,171069,39470,52778.946360153255,U61677.1_ITS,522,,,Map_C_8rel_P
KC514065_EF1 mapping,653,130,104,26,28.8301043219076,KC514065_EF1,671,,Fusarium circinatum,Map_C_8rel_P
KC514064_EF1 mapping,594,72,62,10,13.891207153502236,KC514064_EF1,671,,Fusarium circinatum,Map_C_8rel_P
KC514063_EF1 mapping,585,73,63,10,13.997019374068554,KC514063_EF1,671,,Fusarium circinatum,Map_C_8rel_P
KC514062_EF1 mapping,629,78,66,12,17.021806853582554,KC514062_EF1,642,,Fusarium circinatum,Map_C_8rel_P
KC514061_EF1 mapping,648,116,96,20,25.0,KC514061_EF1,668,,Fusarium circinatum,Map_C_8rel_P
KC514060_EF1 mapping,662,150,100,50,37.156482861400896,KC514060_EF1,671,,Fusarium circinatum,Map_C_8rel_P
KC514059_EF1 mapping,674,305,265,40,58.903703703703705,KC514059_EF1,675,,Fusarium circinatum,Map_C_8rel_P
KC514058_EF1 mapping,679,761,613,148,127.94705882352942,KC514058_EF1,680,,Fusarium circinatum,Map_C_8rel_P
KC514057_EF1 mapping,678,224,172,52,41.27151335311573,KC514057_EF1,674,,Fusarium circinatum,Map_C_8rel_P
KC514056_EF1 mapping,592,59,53,6,10.90625,KC514056_EF1,672,,Fusarium circinatum,Map_C_8rel_P
KC514055_EF1 mapping,670,108,68,40,27.85692995529061,KC514055_EF1,671,,Fusarium circinatum,Map_C_8rel_P
AF160295_EF1 mapping,641,248,220,28,49.61741835147745,AF160295_EF1,643,,Fusarium circinatum,Map_C_8rel_P
U61547.1_TUB2_1-4 mapping,570,1123,913,210,258.23508771929824,U61547.1_TUB2_1-4,570,,,Map_C_8rel_P
U61625.1_TUB2_4-5 mapping,348,1699,1507,192,559.080459770115,U61625.1_TUB2_4-5,348,,,Map_C_8rel_P
U61573.1_TUB2_4 mapping,318,1734,1554,180,639.433962264151,U61573.1_TUB2_4,318,,,Map_C_8rel_P
FCU61547_TUB2_1-4 mapping,570,1082,900,182,240.00350877192983,FCU61547_TUB2_1-4,570,,Fusarium circinatum,Map_C_8rel_P
AF160295.1_EF1 mapping,640,216,200,16,43.20684292379471,AF160295.1_EF1,643,,,Map_C_8rel_P
AF158348.1_CAL mapping,677,1397,1019,378,288.72230428360416,AF158348.1_CAL,677,,,Map_C_8rel_P
AF158342.1_CAL mapping,675,1386,1284,102,248.19555555555556,AF158342.1_CAL,675,,,Map_C_8rel_P
ENA|FJ744110.1:144..300:rRNA|_5S mapping,157,26337,26053,284,19991.08280254777,ENA|FJ744110.1:144..300:rRNA|_5S,157,,,Map_C_8rel_P
JX171623.1_RPB2 mapping,1762,1471,1113,358,103.80075187969925,JX171623.1_RPB2,1862,,,Map_C_8rel_P
JX171510.1_RPB1 mapping,1605,6226,4416,1810,534.1719626168224,JX171510.1_RPB1,1605,,,Map_C_8rel_P
HM068354.1_RPB2 mapping,1769,1861,1381,480,127.32584269662921,HM068354.1_RPB2,1869,,,Map_C_8rel_P
MN534252.1_RPB2 mapping,1668,1167,927,240,88.21686078757627,MN534252.1_RPB2,1803,,,Map_C_8rel_P
MN534251.1_RPB2 mapping,1701,2746,1878,868,206.10870770937328,MN534251.1_RPB2,1803,,,Map_C_8rel_P
