Name,Consensus length,Total read count,Single reads,Reads in pairs,Average coverage,Reference sequence,Reference length,Reference common name,Reference Latin name,Experiment
AJ879950_28S mapping,1854,97238,82456,14782,6277.091594827586,AJ879950_28S,1856,,Fusarium circinatum,Map_C_6rel_N
AY249397_28S mapping,2569,252142,195186,56956,11718.755546905411,AY249397_28S,2569,,Fusarium circinatum,Map_C_6rel_N
AY249403_28S mapping,2568,253538,195598,57940,11785.807632398753,AY249403_28S,2568,,Fusarium circinatum,Map_C_6rel_N
U61651.1_28S mapping,535,145420,132594,12826,31363.168224299065,U61651.1_28S,535,,,Map_C_6rel_N
U61599.1_18S mapping,681,57578,52182,5396,9699.201174743024,U61599.1_18S,681,,,Map_C_6rel_N
U61677.1_ITS mapping,522,123151,113345,9806,27146.93295019157,U61677.1_ITS,522,,,Map_C_6rel_N
KC514065_EF1 mapping,614,66,66,0,11.657228017883755,KC514065_EF1,671,,Fusarium circinatum,Map_C_6rel_N
KC514064_EF1 mapping,571,44,42,2,7.211624441132638,KC514064_EF1,671,,Fusarium circinatum,Map_C_6rel_N
KC514063_EF1 mapping,582,43,43,0,7.688524590163935,KC514063_EF1,671,,Fusarium circinatum,Map_C_6rel_N
KC514062_EF1 mapping,487,49,47,2,9.096573208722742,KC514062_EF1,642,,Fusarium circinatum,Map_C_6rel_N
KC514061_EF1 mapping,599,70,66,4,12.52694610778443,KC514061_EF1,668,,Fusarium circinatum,Map_C_6rel_N
KC514060_EF1 mapping,605,67,63,4,12.038748137108794,KC514060_EF1,671,,Fusarium circinatum,Map_C_6rel_N
KC514059_EF1 mapping,674,196,178,18,36.004444444444445,KC514059_EF1,675,,Fusarium circinatum,Map_C_6rel_N
KC514058_EF1 mapping,679,498,428,70,78.06470588235294,KC514058_EF1,680,,Fusarium circinatum,Map_C_6rel_N
KC514057_EF1 mapping,676,101,97,4,15.083086053412464,KC514057_EF1,674,,Fusarium circinatum,Map_C_6rel_N
KC514056_EF1 mapping,578,40,40,0,6.892857142857143,KC514056_EF1,672,,Fusarium circinatum,Map_C_6rel_N
KC514055_EF1 mapping,550,44,42,2,7.736214605067064,KC514055_EF1,671,,Fusarium circinatum,Map_C_6rel_N
AF160295_EF1 mapping,630,158,150,8,30.300155520995336,AF160295_EF1,643,,Fusarium circinatum,Map_C_6rel_N
U61547.1_TUB2_1-4 mapping,570,656,606,50,132.85614035087718,U61547.1_TUB2_1-4,570,,,Map_C_6rel_N
U61625.1_TUB2_4-5 mapping,348,1057,1041,16,316.7586206896552,U61625.1_TUB2_4-5,348,,,Map_C_6rel_N
U61573.1_TUB2_4 mapping,318,1090,1054,36,373.02515723270443,U61573.1_TUB2_4,318,,,Map_C_6rel_N
FCU61547_TUB2_1-4 mapping,570,680,638,42,136.54736842105262,FCU61547_TUB2_1-4,570,,Fusarium circinatum,Map_C_6rel_N
AF160295.1_EF1 mapping,637,136,134,2,26.203732503888023,AF160295.1_EF1,643,,,Map_C_6rel_N
AF158348.1_CAL mapping,650,679,627,52,111.85376661742984,AF158348.1_CAL,677,,,Map_C_6rel_N
AF158342.1_CAL mapping,675,1028,946,82,182.60444444444445,AF158342.1_CAL,675,,,Map_C_6rel_N
ENA|FJ744110.1:144..300:rRNA|_5S mapping,157,19075,18961,114,14336.503184713376,ENA|FJ744110.1:144..300:rRNA|_5S,157,,,Map_C_6rel_N
JX171623.1_RPB2 mapping,1760,872,750,122,55.28088077336198,JX171623.1_RPB2,1862,,,Map_C_6rel_N
JX171510.1_RPB1 mapping,1605,3744,2968,776,283.69345794392524,JX171510.1_RPB1,1605,,,Map_C_6rel_N
HM068354.1_RPB2 mapping,1766,1120,932,188,68.09416800428036,HM068354.1_RPB2,1869,,,Map_C_6rel_N
MN534252.1_RPB2 mapping,1612,712,620,92,48.35884636716583,MN534252.1_RPB2,1803,,,Map_C_6rel_N
MN534251.1_RPB2 mapping,1701,1663,1267,396,112.3399889073766,MN534251.1_RPB2,1803,,,Map_C_6rel_N
