Name,Consensus length,Total read count,Single reads,Reads in pairs,Average coverage,Reference sequence,Reference length,Reference common name,Reference Latin name,Experiment
AJ879950_28S mapping,1853,151100,118922,32178,10634.165948275862,AJ879950_28S,1856,,Fusarium circinatum,Map_B_8rel_P
AY249397_28S mapping,2569,430722,288796,141926,23107.76566757493,AY249397_28S,2569,,Fusarium circinatum,Map_B_8rel_P
AY249403_28S mapping,2568,433498,289126,144372,23302.830996884735,AY249403_28S,2568,,Fusarium circinatum,Map_B_8rel_P
U61651.1_28S mapping,535,228777,187493,41284,55894.74953271028,U61651.1_28S,535,,,Map_B_8rel_P
U61599.1_18S mapping,681,86693,71861,14832,16218.214390602056,U61599.1_18S,681,,,Map_B_8rel_P
U61677.1_ITS mapping,522,206193,166875,39318,51777.94827586207,U61677.1_ITS,522,,,Map_B_8rel_P
KC514065_EF1 mapping,653,121,95,26,27.55290611028316,KC514065_EF1,671,,Fusarium circinatum,Map_B_8rel_P
KC514064_EF1 mapping,594,65,57,8,12.955290611028316,KC514064_EF1,671,,Fusarium circinatum,Map_B_8rel_P
KC514063_EF1 mapping,585,69,59,10,13.374068554396423,KC514063_EF1,671,,Fusarium circinatum,Map_B_8rel_P
KC514062_EF1 mapping,629,74,62,12,16.39563862928349,KC514062_EF1,642,,Fusarium circinatum,Map_B_8rel_P
KC514061_EF1 mapping,648,109,89,20,23.95359281437126,KC514061_EF1,668,,Fusarium circinatum,Map_B_8rel_P
KC514060_EF1 mapping,662,143,93,50,35.96423248882265,KC514060_EF1,671,,Fusarium circinatum,Map_B_8rel_P
KC514059_EF1 mapping,674,299,259,40,57.86222222222222,KC514059_EF1,675,,Fusarium circinatum,Map_B_8rel_P
KC514058_EF1 mapping,679,759,611,148,127.59117647058824,KC514058_EF1,680,,Fusarium circinatum,Map_B_8rel_P
KC514057_EF1 mapping,678,217,165,52,40.20029673590504,KC514057_EF1,674,,Fusarium circinatum,Map_B_8rel_P
KC514056_EF1 mapping,592,55,49,6,10.354166666666666,KC514056_EF1,672,,Fusarium circinatum,Map_B_8rel_P
KC514055_EF1 mapping,670,102,60,42,26.88971684053651,KC514055_EF1,671,,Fusarium circinatum,Map_B_8rel_P
AF160295_EF1 mapping,641,244,216,28,49.088646967340594,AF160295_EF1,643,,Fusarium circinatum,Map_B_8rel_P
U61547.1_TUB2_1-4 mapping,570,1093,885,208,252.859649122807,U61547.1_TUB2_1-4,570,,,Map_B_8rel_P
U61625.1_TUB2_4-5 mapping,348,1627,1443,184,537.9971264367816,U61625.1_TUB2_4-5,348,,,Map_B_8rel_P
U61573.1_TUB2_4 mapping,318,1581,1433,148,579.3018867924528,U61573.1_TUB2_4,318,,,Map_B_8rel_P
FCU61547_TUB2_1-4 mapping,570,1055,875,180,234.97719298245613,FCU61547_TUB2_1-4,570,,Fusarium circinatum,Map_B_8rel_P
AF160295.1_EF1 mapping,640,211,195,16,42.371695178849144,AF160295.1_EF1,643,,,Map_B_8rel_P
AF158348.1_CAL mapping,677,1371,1001,370,284.15214180206794,AF158348.1_CAL,677,,,Map_B_8rel_P
AF158342.1_CAL mapping,675,1340,1256,84,240.89037037037036,AF158342.1_CAL,675,,,Map_B_8rel_P
ENA|FJ744110.1:144..300:rRNA|_5S mapping,157,22028,21844,184,16939.057324840764,ENA|FJ744110.1:144..300:rRNA|_5S,157,,,Map_B_8rel_P
JX171623.1_RPB2 mapping,1762,1439,1085,354,101.86143931256713,JX171623.1_RPB2,1862,,,Map_B_8rel_P
JX171510.1_RPB1 mapping,1605,6166,4360,1806,529.8573208722742,JX171510.1_RPB1,1605,,,Map_B_8rel_P
HM068354.1_RPB2 mapping,1769,1816,1338,478,124.3681112894596,HM068354.1_RPB2,1869,,,Map_B_8rel_P
MN534252.1_RPB2 mapping,1599,1144,908,236,86.87687188019967,MN534252.1_RPB2,1803,,,Map_B_8rel_P
MN534251.1_RPB2 mapping,1701,2717,1851,866,204.25013865779258,MN534251.1_RPB2,1803,,,Map_B_8rel_P
