Name,Consensus length,Total read count,Single reads,Reads in pairs,Average coverage,Reference sequence,Reference length,Reference common name,Reference Latin name,Experiment
AJ879950_28S mapping,1852,75305,55599,19706,5654.033943965517,AJ879950_28S,1856,,Fusarium circinatum,Map_C_4rel_P
AY249397_28S mapping,2569,211670,131116,80554,12829.57142857143,AY249397_28S,2569,,Fusarium circinatum,Map_C_4rel_P
AY249403_28S mapping,2568,213279,131205,82074,12960.730140186915,AY249403_28S,2568,,Fusarium circinatum,Map_C_4rel_P
U61651.1_28S mapping,535,127309,91267,36042,34007.64859813084,U61651.1_28S,535,,,Map_C_4rel_P
U61599.1_18S mapping,680,48042,37988,10054,9462.820851688693,U61599.1_18S,681,,,Map_C_4rel_P
U61677.1_ITS mapping,522,108575,77969,30606,30354.66283524904,U61677.1_ITS,522,,,Map_C_4rel_P
KC514065_EF1 mapping,654,74,48,26,18.417287630402384,KC514065_EF1,671,,Fusarium circinatum,Map_C_4rel_P
KC514064_EF1 mapping,592,44,36,8,8.827123695976155,KC514064_EF1,671,,Fusarium circinatum,Map_C_4rel_P
KC514063_EF1 mapping,581,46,36,10,9.076005961251862,KC514063_EF1,671,,Fusarium circinatum,Map_C_4rel_P
KC514062_EF1 mapping,629,46,34,12,10.827102803738319,KC514062_EF1,642,,Fusarium circinatum,Map_C_4rel_P
KC514061_EF1 mapping,649,66,46,20,15.631736526946108,KC514061_EF1,668,,Fusarium circinatum,Map_C_4rel_P
KC514060_EF1 mapping,662,99,49,50,27.748137108792847,KC514060_EF1,671,,Fusarium circinatum,Map_C_4rel_P
KC514059_EF1 mapping,675,139,109,30,28.21037037037037,KC514059_EF1,675,,Fusarium circinatum,Map_C_4rel_P
KC514058_EF1 mapping,679,356,270,86,63.42794117647059,KC514058_EF1,680,,Fusarium circinatum,Map_C_4rel_P
KC514057_EF1 mapping,679,132,82,50,28.909495548961424,KC514057_EF1,674,,Fusarium circinatum,Map_C_4rel_P
KC514056_EF1 mapping,582,40,34,6,7.386904761904762,KC514056_EF1,672,,Fusarium circinatum,Map_C_4rel_P
KC514055_EF1 mapping,670,76,36,40,21.983606557377048,KC514055_EF1,671,,Fusarium circinatum,Map_C_4rel_P
AF160295_EF1 mapping,630,98,84,14,20.569206842923794,AF160295_EF1,643,,Fusarium circinatum,Map_C_4rel_P
U61547.1_TUB2_1-4 mapping,570,578,414,164,146.35614035087718,U61547.1_TUB2_1-4,570,,,Map_C_4rel_P
U61625.1_TUB2_4-5 mapping,348,897,707,190,319.72701149425285,U61625.1_TUB2_4-5,348,,,Map_C_4rel_P
U61573.1_TUB2_4 mapping,318,949,769,180,379.92138364779873,U61573.1_TUB2_4,318,,,Map_C_4rel_P
FCU61547_TUB2_1-4 mapping,570,561,429,132,134.6298245614035,FCU61547_TUB2_1-4,570,,Fusarium circinatum,Map_C_4rel_P
AF160295.1_EF1 mapping,624,87,77,10,18.11353032659409,AF160295.1_EF1,643,,,Map_C_4rel_P
AF158348.1_CAL mapping,677,764,442,322,184.314623338257,AF158348.1_CAL,677,,,Map_C_4rel_P
AF158342.1_CAL mapping,675,649,589,60,114.55407407407408,AF158342.1_CAL,675,,,Map_C_4rel_P
ENA|FJ744110.1:144..300:rRNA|_5S mapping,157,13830,13546,284,10395.171974522293,ENA|FJ744110.1:144..300:rRNA|_5S,157,,,Map_C_4rel_P
JX171623.1_RPB2 mapping,1762,728,506,222,56.98925886143931,JX171623.1_RPB2,1862,,,Map_C_4rel_P
JX171510.1_RPB1 mapping,1605,3022,1950,1072,291.0380062305296,JX171510.1_RPB1,1605,,,Map_C_4rel_P
HM068354.1_RPB2 mapping,1769,944,640,304,71.58319957196362,HM068354.1_RPB2,1869,,,Map_C_4rel_P
MN534252.1_RPB2 mapping,1667,575,419,156,47.942318358291736,MN534252.1_RPB2,1803,,,Map_C_4rel_P
MN534251.1_RPB2 mapping,1698,1275,825,450,106.67720465890183,MN534251.1_RPB2,1803,,,Map_C_4rel_P
